RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JB504056,,11/05/2018 08:55:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/05/2018 08:58:00 AM,IMPROPER LANE USAGE,NOT APPLICABLE,22,S,FRANKLIN ST,122,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,11,41.881206642,-87.635442492,POINT (-87.63544249205 41.881206642129)
JB504055,,11/05/2018 08:52:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/05/2018 08:59:00 AM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),FAILING TO REDUCE SPEED TO AVOID CRASH,498,N,CICERO AVE,1532,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,11,41.889522044,-87.745761282,POINT (-87.745761281943 41.889522044441)
JB504028,,11/05/2018 08:50:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/05/2018 08:50:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2832,N,KIMBALL AVE,1412,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,8,2,11,41.933089132,-87.712476789,POINT (-87.712476788784 41.933089131627)
JB509298,,11/05/2018 08:46:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/09/2018 08:02:00 AM,IMPROPER BACKING,NOT APPLICABLE,2720,N,SHEFFIELD AVE,1935,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,2,11,41.93140689,-87.653963908,POINT (-87.653963908272 41.931406889885)
JB504010,,11/05/2018 08:41:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/05/2018 08:42:00 AM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,2800,W,31ST ST,1033,,,,,,,2,INCAPACITATING INJURY,6,0,2,4,0,4,0,8,2,11,41.837520774,-87.695158406,POINT (-87.695158406193 41.83752077351)
JB504050,,11/05/2018 08:35:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,N,"$501 - $1,500",11/05/2018 09:15:00 AM,IMPROPER LANE USAGE,NOT APPLICABLE,2832,W,BRYN MAWR AVE,2011,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,2,11,41.983223627,-87.700432868,POINT (-87.700432868438 41.983223627251)
JB510836,,11/05/2018 08:30:00 AM,45,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,8,STRAIGHT AND LEVEL,DRY,OTHER,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/10/2018 12:00:00 PM,NOT APPLICABLE,NOT APPLICABLE,4100,N,LAKE SHORE DR SB,1915,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,2,11,41.9557612,-87.645222835,POINT (-87.645222834844 41.955761199898)
JB504326,,11/05/2018 08:30:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,UNKNOWN,DAYLIGHT,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/05/2018 12:10:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,3934,W,75TH PL,833,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,9,0,8,2,11,41.756495352,-87.722004363,POINT (-87.7220043633 41.756495351957)
JB504052,,11/05/2018 08:30:00 AM,40,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),3,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/05/2018 09:30:00 AM,EXCEEDING SAFE SPEED FOR CONDITIONS,FAILING TO REDUCE SPEED TO AVOID CRASH,850,N,LAKE SHORE DR,1833,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,8,2,11,41.898105853,-87.618097216,POINT (-87.618097215676 41.898105852915)
JB504026,,11/05/2018 08:30:00 AM,20,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,OTHER,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/05/2018 08:36:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6230,S,LAWNDALE AVE,823,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,11,41.779727561,-87.715573022,POINT (-87.715573021923 41.7797275609)
JB504002,,11/05/2018 08:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,FIXED OBJECT,ONE-WAY,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/05/2018 08:30:00 AM,IMPROPER BACKING,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",2549,W,CONGRESS PKWY,1135,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,11,41.87484022,-87.690584849,POINT (-87.690584849056 41.874840220482)
JB504008,,11/05/2018 08:25:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,11/05/2018 08:30:00 AM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,6614,W,NORTH AVE,2513,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,8,2,11,41.90919121,-87.790665232,POINT (-87.790665231593 41.90919121047)
JB503994,,11/05/2018 08:25:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/05/2018 08:30:00 AM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,4401,W,FULLERTON AVE,2522,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,8,2,11,41.924254896,-87.736628651,POINT (-87.736628651365 41.92425489557)
JB504966,,11/05/2018 08:20:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/05/2018 07:38:00 PM,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2731,W,MONTROSE AVE,1724,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,11,41.961147017,-87.697302754,POINT (-87.697302753718 41.961147016828)
JB504001,,11/05/2018 08:20:00 AM,30,STOP SIGN/FLASHER,UNKNOWN,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/05/2018 08:30:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1258,N,CENTRAL AVE,2531,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,11,41.903903991,-87.76586424,POINT (-87.765864239532 41.903903990687)
JB503993,,11/05/2018 08:18:00 AM,25,UNKNOWN,UNKNOWN,CLOUDY/OVERCAST,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/05/2018 08:21:00 AM,IMPROPER LANE USAGE,UNABLE TO DETERMINE,4900,S,COTTAGE GROVE AVE,223,,,,,,,2,INCAPACITATING INJURY,3,0,1,2,0,1,0,8,2,11,41.805800866,-87.606631879,POINT (-87.606631879301 41.805800866288)
JB504107,N,11/05/2018 08:15:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/05/2018 09:30:00 AM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,244,W,PERSHING RD,915,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,8,2,11,41.823739844,-87.632767294,POINT (-87.632767294108 41.823739844383)
JB504320,,11/05/2018 08:01:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/05/2018 12:20:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,7513,S,YATES BLVD,421,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,11,41.758557273,-87.566217718,POINT (-87.566217717757 41.758557272529)
JB504745,,11/05/2018 08:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/05/2018 04:55:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8815,S,SAGINAW AVE,423,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,2,11,41.734965907,-87.559525592,POINT (-87.559525592423 41.734965907431)
JB504689,Y,11/05/2018 08:00:00 AM,30,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/05/2018 04:20:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2556,W,CHICAGO AVE,1211,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,2,11,41.895811098,-87.691630679,POINT (-87.691630678824 41.895811098125)
JB504071,,11/05/2018 08:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/05/2018 09:30:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,30,N,LEAVITT ST,1223,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,11,41.882118577,-87.681689162,POINT (-87.681689161914 41.882118576528)
JB504034,,11/05/2018 08:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/05/2018 09:08:00 AM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,1131,N,MASON AVE,1511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,11,41.901135759,-87.773974168,POINT (-87.773974167586 41.901135758961)
JB504015,,11/05/2018 08:00:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,UNKNOWN,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/05/2018 08:30:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,5901,S,WESTERN AVE,825,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,2,11,41.786440844,-87.683681956,POINT (-87.683681956485 41.786440843824)
JB503996,,11/05/2018 08:00:00 AM,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,3,STRAIGHT AND LEVEL,WET,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/05/2018 09:05:00 AM,IMPROPER OVERTAKING/PASSING,WEATHER,10301,S,DOTY AVE E,434,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,8,2,11,41.707847637,-87.580561313,POINT (-87.580561312625 41.707847636658)
JB503968,,11/05/2018 07:59:00 AM,45,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/05/2018 07:59:00 AM,FOLLOWING TOO CLOSELY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,10700,W,IRVING PARK RD,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,2,11,41.95517597,-87.893078846,POINT (-87.893078845519 41.95517597002)
JB503972,,11/05/2018 07:55:00 AM,15,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,11/05/2018 08:11:00 AM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,3855,W,CORTLAND ST,2535,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,7,2,11,41.915265686,-87.723845775,POINT (-87.723845775015 41.915265685536)
JB503980,,11/05/2018 07:52:00 AM,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",11/05/2018 07:55:00 AM,DISREGARDING STOP SIGN,FAILING TO REDUCE SPEED TO AVOID CRASH,11230,S,BISHOP ST,2234,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,2,11,41.689370392,-87.658655269,POINT (-87.65865526876 41.689370391872)
JB504000,,11/05/2018 07:50:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/05/2018 08:20:00 AM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,2650,N,NARRAGANSETT AVE,2512,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,7,2,11,41.928847223,-87.785781019,POINT (-87.785781019201 41.928847223324)
JB503964,,11/05/2018 07:50:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,OTHER,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/05/2018 07:50:00 AM,IMPROPER BACKING,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,5601,S,COTTAGE GROVE AVE,235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,2,11,41.79306488,-87.606041452,POINT (-87.606041451778 41.793064880473)
JB503992,,11/05/2018 07:49:00 AM,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,1,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/05/2018 07:52:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,7701,S,TRUMBULL AVE,835,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,7,2,11,41.753286786,-87.708453738,POINT (-87.708453737934 41.753286786096)
JB504542,,11/05/2018 07:45:00 AM,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TURNING,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/05/2018 02:50:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3159,W,ROOSEVELT RD,1022,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,2,11,41.866298341,-87.705519651,POINT (-87.705519651182 41.866298340803)
JB504227,,11/05/2018 07:45:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/05/2018 11:15:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4372,S,ARCHER AVE,821,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,2,11,41.81401306,-87.704603718,POINT (-87.704603717516 41.814013060064)
JB503969,,11/05/2018 07:45:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/05/2018 08:20:00 AM,NOT APPLICABLE,NOT APPLICABLE,1800,W,ROOSEVELT RD,1231,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,2,11,41.866931753,-87.671471107,POINT (-87.671471107231 41.86693175309)
JB503950,,11/05/2018 07:45:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/05/2018 07:53:00 AM,DISTRACTION - FROM INSIDE VEHICLE,FOLLOWING TOO CLOSELY,3044,W,63RD ST,823,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,4,0,7,2,11,41.779128511,-87.700053542,POINT (-87.700053541611 41.779128511312)
JB503929,,11/05/2018 07:45:00 AM,40,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,8,STRAIGHT ON HILLCREST,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/05/2018 07:47:00 AM,DISTRACTION - FROM INSIDE VEHICLE,NOT APPLICABLE,5201,N,LAKE SHORE DR NB,2023,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,2,11,41.976778953,-87.650163545,POINT (-87.650163545346 41.976778952794)
JB504027,N,11/05/2018 07:40:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,11/05/2018 08:40:00 AM,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER TURNING/NO SIGNAL,10000,S,DR MARTIN LUTHER KING JR DR,511,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,7,2,11,41.712422005,-87.614067252,POINT (-87.614067252063 41.712422005001)
JB503955,,11/05/2018 07:40:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/05/2018 07:58:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,1017,E,87TH ST,412,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,2,11,41.736616456,-87.599216785,POINT (-87.599216785274 41.7366164556)
JB503949,N,11/05/2018 07:40:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/05/2018 07:42:00 AM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),NOT APPLICABLE,9225,S,GREENWOOD AVE,413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,2,11,41.726867505,-87.597175517,POINT (-87.59717551732 41.726867505031)
JB504592,,11/05/2018 07:35:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,CENTER TURN LANE,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/05/2018 03:26:00 PM,FOLLOWING TOO CLOSELY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,4001,W,63RD ST,813,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,2,11,41.778547871,-87.722819312,POINT (-87.722819311822 41.778547871129)
JB508265,,11/05/2018 07:30:00 AM,30,NO CONTROLS,NO CONTROLS,UNKNOWN,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2018 11:40:00 AM,NOT APPLICABLE,NOT APPLICABLE,3920,W,83RD ST,834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,2,11,41.742315233,-87.720124479,POINT (-87.720124478792 41.742315232954)
JB504883,Y,11/05/2018 07:30:00 AM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/05/2018 06:30:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6650,S,CLAREMONT AVE,832,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,2,11,41.772291243,-87.682242647,POINT (-87.682242647435 41.772291242715)
JB504425,,11/05/2018 07:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,OTHER OBJECT,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,Y,"OVER $1,500",11/05/2018 01:06:00 PM,NOT APPLICABLE,NOT APPLICABLE,5555,S,ARCHER AVE,814,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,2,11,41.797729903,-87.748547351,POINT (-87.748547350633 41.797729902826)
JB503960,,11/05/2018 07:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/05/2018 08:12:00 AM,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,3820,N,SPAULDING AVE,1733,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,7,2,11,41.950902008,-87.7105295,POINT (-87.71052949972 41.950902007535)
JB503943,Y,11/05/2018 07:30:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,FIXED OBJECT,OTHER,3,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,Y,,"OVER $1,500",11/05/2018 07:45:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,501,S,SACRAMENTO BLVD,1135,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,2,11,,,
